# time, log_rho_var
3.000000000000000062e-03,6.042776118298812343e-05
6.000000000000000125e-03,3.095935922266918289e-04
1.200000000000000025e-02,1.226437097050812192e-03
2.400000000000000050e-02,5.040386283244840775e-03
4.800000000000000100e-02,2.073581150215430408e-02
9.600000000000000200e-02,8.242107483527741363e-02
1.920000000000000040e-01,2.677719969912704112e-01
3.840000000000000080e-01,6.438840866303094934e-01
7.680000000000000160e-01,1.461620145824684025e+00
1.536000000000000032e+00,3.029184291363180126e+00
3.072000000000000064e+00,5.709378694720150804e+00
6.144000000000000128e+00,7.471134503290034701e+00
9.215999999999999304e+00,5.522143807830116380e+00
