# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta,surftimeprefactor
1.311622223388672070e-01,9.477722955598795462e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,nan
1.209915418701171808e-01,9.537072913247297834e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01,nan
1.090298379394531308e-01,9.528296593507906351e-03,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01,nan
9.080506674804686429e-02,9.321216077602396954e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,nan
7.937480515136718928e-02,9.504765338179115008e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00,nan
6.990139074707031608e-02,9.666777877578747180e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,nan
5.934358139648437253e-02,9.495675769643824662e-03,1.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e+00,nan
5.588762604980468396e-02,9.626846286772032871e-03,1.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00,nan
5.219503725585937504e-02,9.538199663074373863e-03,1.000000000000000000e+00,7.000000000000000000e+00,3.500000000000000000e+00,nan
5.164910939941406293e-02,9.405203253358042012e-03,1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,nan
