# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,8.006005482986632282e-01,0.000000000000000000e+00
2.470278535103650856e-03,7.990131596798287772e-01,5.000000000000000000e-01
4.392845456035934966e-03,8.293684210526358624e-01,0.000000000000000000e+00
7.811706625951745156e-03,8.089850406980996222e-01,5.000000000000000000e-01
1.389139705019461560e-02,8.115004807692339783e-01,7.500000000000000000e-01
2.470278535103651030e-02,8.170714001221437428e-01,2.500000000000000000e-01
4.392845456035934792e-02,8.087474478325297200e-01,2.500000000000000000e-01
7.811706625951746197e-02,8.086173985765745531e-01,2.500000000000000000e-01
1.389139705019461490e-01,8.100071744446004640e-01,2.500000000000000000e-01
2.470278535103651030e-01,8.068088908128419057e-01,2.500000000000000000e-01
4.392845456035935348e-01,8.014345184721639592e-01,0.000000000000000000e+00
7.811706625951745364e-01,7.994204834919089731e-01,0.000000000000000000e+00
