# value,p_norm_ratio
3.906250000000000000e-02,1.229128462922433884e-02
1.171875000000000000e-01,8.395047299796859486e-02
1.953125000000000000e-01,2.025263128354919118e-01
2.734375000000000000e-01,3.364846391855603192e-01
3.515625000000000000e-01,4.752273448612818196e-01
4.296875000000000000e-01,5.947969929961496316e-01
5.078125000000000000e-01,6.889627092341685799e-01
5.859375000000000000e-01,7.585108911077310667e-01
6.640625000000000000e-01,8.038320962847377293e-01
7.421875000000000000e-01,8.154369141855623004e-01
8.203125000000000000e-01,8.005390629875793751e-01
8.984375000000000000e-01,7.690872718775008110e-01
9.765625000000000000e-01,7.246943572955187873e-01
1.054687500000000000e+00,6.719996802968930538e-01
1.132812500000000000e+00,6.109302148393015441e-01
1.210937500000000000e+00,5.503794625188452860e-01
1.289062500000000000e+00,4.873699315985850489e-01
1.367187500000000000e+00,4.299145901847097884e-01
1.445312500000000000e+00,3.774395108684870936e-01
1.523437500000000000e+00,3.284204552325315496e-01
1.601562500000000000e+00,2.840622275966717125e-01
1.679687500000000000e+00,2.479875452943683112e-01
1.757812500000000000e+00,2.170050955728301256e-01
1.835937500000000000e+00,1.902915535345605647e-01
1.914062500000000000e+00,1.645357508051223105e-01
1.992187500000000000e+00,1.434657517262117599e-01
2.070312500000000000e+00,1.251082336318394828e-01
2.148437500000000000e+00,1.090178586598509886e-01
2.226562500000000000e+00,9.459643753420825252e-02
2.304687500000000000e+00,8.265824290002565800e-02
2.382812500000000000e+00,7.137256687194645788e-02
2.460937500000000000e+00,6.219063770010439807e-02
2.539062500000000000e+00,5.529450839247010419e-02
2.617187500000000000e+00,4.842470086595103418e-02
2.695312500000000000e+00,4.283049038772016037e-02
2.773437500000000000e+00,3.868525940230563981e-02
2.851562500000000000e+00,3.340100786751280804e-02
2.929687500000000000e+00,2.974036933746564831e-02
3.007812500000000000e+00,2.535665342918251922e-02
3.085937500000000000e+00,2.292194437432448079e-02
3.164062500000000000e+00,2.062408659431507613e-02
3.242187500000000000e+00,1.849733417783713460e-02
3.320312500000000000e+00,1.637770180585488775e-02
3.398437500000000000e+00,1.505429466406967703e-02
3.476562500000000000e+00,1.348692660701560943e-02
3.554687500000000000e+00,1.162976480796622594e-02
3.632812500000000000e+00,1.037422484238478999e-02
3.710937500000000000e+00,9.573725903513474050e-03
3.789062500000000000e+00,8.675492648380425664e-03
3.867187500000000000e+00,7.389896295812099607e-03
3.945312500000000000e+00,6.766335700517957068e-03
4.023437500000000000e+00,6.337944848153077154e-03
4.101562500000000000e+00,5.525436331369940057e-03
4.179687500000000000e+00,5.108620873140731072e-03
4.257812500000000000e+00,4.879277862669638421e-03
4.335937500000000000e+00,4.251568748966145020e-03
4.414062500000000000e+00,3.853047437256260348e-03
4.492187500000000000e+00,3.548996090595975608e-03
4.570312500000000000e+00,3.353255528985530157e-03
4.648437500000000000e+00,2.898446603423887515e-03
4.726562500000000000e+00,3.011343082131946302e-03
4.804687500000000000e+00,2.575126700329205716e-03
4.882812500000000000e+00,2.266908972978291456e-03
4.960937500000000000e+00,2.199210969839530353e-03
